epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4514.47,1.16173,1.7009,1.53026,0.81211,0.7096,0.80623,0.66006,1.00163,1.93633,1.42862,0.000101423,0.000101423,0.000101423
89,4563.67,1.1488,1.69222,1.53651,0.81714,0.70966,0.8075,0.66026,0.9988,1.93279,1.42724,8.95213e-05,8.95213e-05,8.95213e-05
90,4612.44,1.15625,1.68731,1.53371,0.80382,0.71778,0.80728,0.66074,0.99989,1.93113,1.42741,7.8528e-05,7.8528e-05,7.8528e-05
91,4672.91,0.97289,1.1867,1.39123,0.79676,0.72227,0.80194,0.65586,1.00616,1.96847,1.43471,6.8454e-05,6.8454e-05,6.8454e-05
92,4723.81,0.94997,1.09408,1.38351,0.80244,0.71016,0.79781,0.65206,1.0142,1.99288,1.44118,5.93093e-05,5.93093e-05,5.93093e-05
93,4771.45,0.9274,1.04683,1.3681,0.79609,0.7142,0.79724,0.65148,1.01433,1.99802,1.44018,5.11027e-05,5.11027e-05,5.11027e-05
94,4819.59,0.92524,1.0443,1.37474,0.80326,0.70873,0.79731,0.65156,1.01495,1.99212,1.44379,4.38424e-05,4.38424e-05,4.38424e-05
95,4868.19,0.93578,1.04427,1.37401,0.80678,0.70673,0.79745,0.65233,1.0145,1.98367,1.44353,3.75356e-05,3.75356e-05,3.75356e-05
96,4916.72,0.92118,1.029,1.36786,0.80402,0.70784,0.79815,0.65395,1.0137,1.97742,1.44433,3.21885e-05,3.21885e-05,3.21885e-05
97,4965.36,0.9154,1.02322,1.36668,0.80035,0.70883,0.79877,0.65497,1.01167,1.97555,1.44477,2.78064e-05,2.78064e-05,2.78064e-05
98,5013.69,0.91627,1.01924,1.36412,0.80989,0.70287,0.79885,0.65557,1.01178,1.97368,1.4456,2.43937e-05,2.43937e-05,2.43937e-05
99,5061.01,0.91318,1.00493,1.35941,0.81675,0.69886,0.79932,0.65692,1.00905,1.96915,1.44339,2.19535e-05,2.19535e-05,2.19535e-05
100,5108.93,0.91327,1.00914,1.35551,0.81487,0.70091,0.79962,0.65697,1.00601,1.96815,1.44208,2.04885e-05,2.04885e-05,2.04885e-05
